objid,label,series,title,sequence,language,coverage,source,identifier=mikan_reel,identifier=mikan_number,identifier=mikan_reference
lac_reel_c13417,C-13417,lac_mikan_157752,"Department of Indian Affairs : Office of the Chief Superintendent in Upper Canada, 1831-1850 - 13417",13417,eng,"start=1845,end=1873",Library and Archives Canada / Bibliothèque et Archives Canada,C-13417,157752 || 135681 || 1336539 || 159414 || 159399,RG 10
lac_reel_c13490,C-13490,lac_mikan_157752,"Toronto office of the Central Superintendency, 1845-1877 - 13490",13490,eng,"Start=1869-01 End=1936",Library and Archives Canada / Bibliothèque et Archives Canada,C-13490,157752 || 161993 || 161865 || 157752,RG 10
